Etiqueta,Tupla,Longitud,Latitud,ND,NDC,NiDC,NoDC,NBC,NCC,NLRC,NKC,NCCO,NCCW,KNN,KNNW
v2772,32.46833216791:-116.82001412451,-116.82001412451,32.46833216791,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187815060075,1.0,0.013952187815060075,0.0,0.0,1.0,1.0
v2773,32.46949531358:-116.82022601634,-116.82022601634,32.46949531358,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2774,32.46990037518:-116.8207195428,-116.8207195428,32.46990037518,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2775,32.47010856256:-116.82138204843,-116.82138204843,32.47010856256,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2776,32.47000220603:-116.82140082389,-116.82140082389,32.47000220603,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2777,32.46984606535:-116.82082683116,-116.82082683116,32.46984606535,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2778,32.46940027092:-116.82029843599,-116.82029843599,32.46940027092,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2779,32.46830501026:-116.82014555007,-116.82014555007,32.46830501026,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2780,32.46695175659:-116.82038158447,-116.82038158447,32.46695175659,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2781,32.46577273472:-116.81953400642,-116.81953400642,32.46577273472,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2782,32.46566863607:-116.82077586919,-116.82077586919,32.46566863607,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2783,32.46542649312:-116.82077318698,-116.82077318698,32.46542649312,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2784,32.46554643317:-116.81943208247,-116.81943208247,32.46554643317,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2785,32.4653631285:-116.81942671806,-116.81942671806,32.4653631285,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2786,32.45784731573:-116.82691276342,-116.82691276342,32.45784731573,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003804820602660815,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,2.0,2.0
v2787,32.4985442438:-116.91354275018,-116.91354275018,32.4985442438,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.05536879720220496,0.014111339134947429,1.0,0.014111339134947429,0.0,0.0,2.0,2.0
v2788,32.49732039136:-116.91871404916,-116.91871404916,32.49732039136,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.04539860083635771,0.014119942768299329,1.0,0.014119942768299329,0.0,0.0,1.0,1.0
v2789,32.53837595411:-117.02844455973,-117.02844455973,32.53837595411,3,0.0006726457399103139,0.0002242152466367713,0.0004484304932735426,0.005279656434593742,0.014091865008853694,1.0,0.014091865008853694,0.0,0.0,1.0,1.0
v2790,32.53808256414:-117.02774383195,-117.02774383195,32.53808256414,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.013966155509325498,1.0,0.013966155509325498,0.0,0.0,1.0,1.0
v2791,32.53767611534:-117.02764123946,-117.02764123946,32.53767611534,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.01395358456439547,1.0,0.01395358456439547,0.0,0.0,1.0,1.0
v2792,32.53680102513:-117.02808916837,-117.02808916837,32.53680102513,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.013952327473669555,1.0,0.013952327473669555,0.0,0.0,1.0,1.0
v2793,32.53510375:-117.02962233242,-117.02962233242,32.53510375,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.013952201765852663,1.0,0.013952201765852663,0.0,0.0,1.0,1.0
v2794,32.53453525034:-117.02988625109,-117.02988625109,32.53453525034,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.013952189196326667,1.0,0.013952189196326667,0.0,0.0,1.0,1.0
v2795,32.53393826736:-117.0297628668,-117.0297628668,32.53393826736,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.013952187940629766,1.0,0.013952187940629766,0.0,0.0,1.0,1.0
v2796,32.53346113219:-117.02925056487,-117.02925056487,32.53346113219,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.013952187815060075,1.0,0.013952187815060075,0.0,0.0,1.0,1.0
v2797,32.53345660957:-117.02859878808,-117.02859878808,32.53345660957,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2798,32.53373022656:-117.02820316091,-117.02820316091,32.53373022656,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.00386990258249524,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2799,32.53425032595:-117.02812403709,-117.02812403709,32.53425032595,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0038699025824952393,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2800,32.53463700575:-117.02846735984,-117.02846735984,32.53463700575,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0038699025824952393,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2801,32.53472745693:-117.02903598815,-117.02903598815,32.53472745693,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0038699025824952393,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2802,32.52487905716:-117.02768684506,-117.02768684506,32.52487905716,5,0.0011210762331838565,0.0004484304932735426,0.0006726457399103139,0.01917405135266931,0.01589050750878382,1.0,0.01589050750878382,0.0,0.0,2.0,2.05260898244509
v2803,32.52519566574:-117.02338457644,-117.02338457644,32.52519566574,3,0.0006726457399103139,0.0004484304932735426,0.0002242152466367713,0.006347360324099895,0.015683896358497006,1.0,0.015683896358497006,0.0,0.0,3.0,3.0
v2804,32.52392128895:-117.02077344328,-117.02077344328,32.52392128895,5,0.0011210762331838565,0.0004484304932735426,0.0006726457399103139,0.018259647880429206,0.015679056601268088,1.0,0.015679056601268088,0.0,0.0,1.3333333333333333,1.1920712174129782
v2805,32.52305398024:-117.02134609491,-117.02134609491,32.52305398024,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.015602987325308772,0.015536991486346179,1.0,0.015536991486346179,0.0,0.0,2.0,1.7552716581181793
v2806,32.52167667455:-117.0223921591,-117.0223921591,32.52167667455,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.003690699768979501,0.014110667877054337,1.0,0.014110667877054337,0.0,0.0,2.0,2.0
v2807,32.49174611649:-117.01486052155,-117.01486052155,32.49174611649,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.017045405554723784,0.013952187802503107,1.0,0.013952187802503107,0.0,0.0,1.0,1.0
v2808,32.48257630075:-117.00903744042,-117.00903744042,32.48257630075,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.00707647820863435,0.015838265256276005,1.0,0.015838265256276005,0.0,0.0,2.5,2.5497579010889964
v2809,32.48249088397:-117.00764872201,-117.00764872201,32.48249088397,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0066493177421217365,0.015710560303686345,1.0,0.015710560303686345,0.0,0.0,2.0,2.0
v2810,32.48222898908:-117.00686082378,-117.00686082378,32.48222898908,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0063037259006938785,0.015697659361610376,1.0,0.015697659361610376,0.0,0.0,2.0,2.0
v2811,32.48271205381:-117.00636059314,-117.00636059314,32.48271205381,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.00605017176135224,0.015696356262149963,1.0,0.015696356262149963,0.0,0.0,2.0,2.0
v2812,32.48214414158:-117.00132742658,-117.00132742658,32.48214414158,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.005818174266153501,0.015696226096609065,1.0,0.015696226096609065,0.0,0.0,2.0,2.0
v2813,32.4825876137:-117.00049996912,-117.00049996912,32.4825876137,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.005597356524973357,0.015696228030382293,1.0,0.015696228030382293,0.0,0.0,2.0,2.0
v2814,32.48217581912:-117.00005203754,-117.00005203754,32.48217581912,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0053920110940399325,0.015696378098719096,1.0,0.015696378098719096,0.0,0.0,2.0,2.0
v2815,32.48192919534:-116.99779361755,-116.99779361755,32.48192919534,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.005230354041865957,0.015697877752415632,1.0,0.015697877752415632,0.0,0.0,2.0,2.0
v2816,32.48243941055:-116.99829116598,-116.99829116598,32.48243941055,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.005168209371395262,0.015712727372843453,1.0,0.015712727372843453,0.0,0.0,2.0,2.0
v2817,32.48323018471:-116.99881553918,-116.99881553918,32.48323018471,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.005187564425297768,0.01585972716312313,1.0,0.01585972716312313,0.0,0.0,2.5,2.4813322458675007
