,Arista,Angulo1,Angulo2,Dist
1929,"('v49', 'v1327')",127.04223200645102,-52.95692530422615,184.66015104763375
1930,"('v1327', 'v777')",171.42853969540832,-8.571447333865308,15.222065571481576
1931,"('v777', 'v778')",-146.89321148911554,33.10658538781709,65.04785956414894
1932,"('v778', 'v1328')",-54.31326457805686,125.68643848338886,63.9468840327576
1933,"('v1328', 'v1086')",-53.97608306499751,126.02330883197983,131.51264567976293
1934,"('v1086', 'v1085')",-146.26160656262232,33.73814695627402,77.62376317669118
1935,"('v1085', 'v1084')",123.40700198781468,-56.592510921184626,102.06222140898157
1936,"('v1084', 'v779')",124.78810133549354,-55.21144664697556,96.2733583341618
1937,"('v779', 'v780')",-146.1545717744358,33.84436647442314,333.479061969792
1938,"('v780', 'v781')",-141.75668742630427,38.24252026033318,223.924722750774
1939,"('v781', 'v574')",-130.91543508366098,49.084129766017554,100.74331169190904
1940,"('v574', 'v575')",-112.42506055797102,67.57084316033684,775.3271583911173
1941,"('v575', 'v576')",-127.25714637722103,52.741869587299874,216.32750825948443
1942,"('v576', 'v577')",-140.19818790887302,39.79983472954078,540.550732502399
1943,"('v577', 'v578')",-138.2588891317484,41.73836751714657,721.1997743464378
1944,"('v578', 'v579')",-144.0620800868086,35.937741986100974,53.064074965410725
1945,"('v579', 'v580')",-144.06189179479608,35.93755875161736,163.87123984294854
1946,"('v580', 'v581')",-131.53829952030495,48.459982224102816,401.85148718003904
1947,"('v581', 'v582')",-119.72120748644312,60.27813721218617,132.09756954202686
1948,"('v582', 'v1329')",-156.4811292292593,23.5187728361374,42.964781777692906
1949,"('v1329', 'v680')",104.70186868660147,-75.29795561582549,31.800255406326997
1950,"('v680', 'v681')",48.52678449591283,-131.47238800210766,193.34333994134553
1951,"('v681', 'v1330')",57.41061604915686,-122.58868912088373,144.36541055869188
1952,"('v1330', 'v1331')",117.8039562025388,-62.19529630355568,147.93462222496402
1953,"('v1331', 'v1332')",175.6633357721439,-4.336635423234156,66.68649146894589
1954,"('v1332', 'v1333')",-158.98608500937195,21.013000498518807,446.4925696274756
1955,"('v1333', 'v1334')",165.2352302452197,-14.764723672687353,31.659855214167095
1956,"('v1334', 'v1335')",131.65399329683834,-48.34535580423153,152.5344159721975
1957,"('v1335', 'v1336')",81.13272097328453,-98.86701262206752,47.21102181328346
1958,"('v1336', 'v1337')",25.619330383043177,-154.37980844768006,348.70781930432696
1959,"('v1337', 'v1338')",97.31750693455497,-82.6821805556889,55.16298045265411
1960,"('v1338', 'v1339')",176.42453942043306,-3.5753712953421655,250.6712357530361
1961,"('v1339', 'v1340')",139.95699463347407,-40.04274039972475,72.1127061001375
1962,"('v1340', 'v1341')",107.85850514854366,-72.14109452503595,73.6447986703639
1963,"('v1341', 'v1342')",161.45300187301106,-18.545710424042824,708.9630137484967
1964,"('v1342', 'v1313')",88.6557088307339,-91.34423073769644,10.586857670570827
1965,"('v1313', 'v1312')",99.12700304123724,-80.87262156787799,66.58892837925758
1966,"('v1312', 'v1311')",69.51498911244728,-110.48452568221083,90.71469368961135
1967,"('v1311', 'v1310')",52.657681810418204,-127.34202051100442,65.57571138101697
1968,"('v1310', 'v1309')",79.94349662961194,-100.05560241184301,160.25102820463331
1969,"('v1309', 'v1308')",104.1898468084706,-75.80869683600848,263.08803625468
1970,"('v1308', 'v1307')",-170.8836436829815,9.116104722522948,278.12694134172943
1971,"('v1307', 'v1306')",148.65169484518367,-31.347921120052263,129.30027010659398
1972,"('v1306', 'v1305')",126.3933280807413,-53.6063264048429,75.1852460931422
1973,"('v1305', 'v1304')",152.7042263388519,-27.29512008710475,249.65606632843438
1974,"('v1304', 'v1303')",123.34995436049066,-56.64942087506073,131.02199735890676
1975,"('v1303', 'v1302')",18.24713558018207,-161.75265280693074,118.38985810243511
1976,"('v1302', 'v1301')",110.01585670215887,-69.98376181415733,71.1227168719787
1977,"('v1301', 'v1300')",161.0911079865138,-18.908373788097975,280.1489572744908
1978,"('v1300', 'v1299')",131.89315595087334,-48.106176502461636,157.11085344214337
1979,"('v1299', 'v1298')",79.17904388556703,-100.8196444270842,233.96418705563772
1980,"('v1298', 'v1297')",132.5428351921929,-47.45670274879535,109.87436555014466
1981,"('v1297', 'v1296')",-159.31912269561641,20.680279245731896,296.7099072698908
1982,"('v1296', 'v1295')",-101.97341141859094,78.02594016865265,116.14074761393665
1983,"('v1295', 'v1294')",-147.56847771291584,32.4312128382478,101.106244065134
1984,"('v1294', 'v1293')",174.70677643219653,-5.293135051448161,168.13360122877154
1985,"('v1293', 'v1292')",165.44023449370874,-14.559685991086468,55.427778332269966
1986,"('v1292', 'v1291')",121.98434841654293,-58.01516477878111,100.57569666668401
1987,"('v1291', 'v1290')",160.0189810608719,-19.980434653672148,299.6622037381597
1988,"('v1290', 'v1289')",-168.8000027671315,11.199917317108742,72.10935025416948
1989,"('v1289', 'v1288')",-160.1380443379939,19.861702444278933,130.6257788246298
1990,"('v1288', 'v1287')",169.74857496304298,-10.251289772134129,133.2180348488279
1991,"('v1287', 'v1286')",-124.15252864598929,55.84687922384228,125.41776257546181
1992,"('v1286', 'v1285')",-166.66713302479306,13.332759050520934,82.03365217083986
1993,"('v1285', 'v1284')",-134.26729860431305,45.7317920235499,222.60667296946175
1994,"('v1284', 'v1283')",-126.27119300033208,53.727585432039746,265.6129822815624
1995,"('v1283', 'v1343')",145.4060361361419,-34.5935717941214,121.06187978253081
1996,"('v1343', 'v1344')",122.96843175841525,-57.02983097216705,363.0375977876998
1997,"('v1344', 'v1345')",42.44244552589433,-137.55697898735076,149.5063394274507
1998,"('v1345', 'v1346')",13.49309845363377,-166.5067979563635,77.8338162706877
1999,"('v1346', 'v1347')",-40.916085311310496,139.0834585954505,122.0810526894611
2000,"('v1347', 'v1348')",26.88409356000829,-153.11578701928605,46.29746862601408
2001,"('v1348', 'v1349')",-42.60238334587425,137.39705338219966,145.87219605180996
2002,"('v1349', 'v1350')",-131.0293552123327,48.970418137603986,52.6684142684018
2003,"('v1350', 'v1274')",176.74477655996913,-3.255214807034008,26.65153679522871
2004,"('v156', 'v157')",-84.32493396198018,95.67470872765043,62.78217709342177
2005,"('v157', 'v80')",-164.40508283390238,15.594895543658396,14.06299346679843
2006,"('v691', 'v692')",-110.6447107844811,69.35433394126696,178.60361421229243
2007,"('v692', 'v693')",164.17705208399465,-15.822900368959296,30.509669878837848
2008,"('v693', 'v688')",79.56006191191013,-100.43894968413876,175.84379063504147
2009,"('v688', 'v689')",58.30272383709725,-121.69661553779544,135.84490617466764
2010,"('v689', 'v694')",38.12142206121666,-141.87760497874555,275.73182725975215
2011,"('v694', 'v695')",36.76166275998498,-143.23699172011547,393.2801504663117
2012,"('v695', 'v696')",32.1954341572421,-147.80410965623335,149.76452560422908
